CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,_count,_sum,_mean,class,time
0600200011072,06,002,0001,1072,828.0,825.0189747899991,0.9963997280072453,Depth,10500
0600200010731,06,002,0001,0731,8018.0,1493.5196446699945,0.18627084617984466,Depth,10500
060020001166A,06,002,0001,166A,0.0,0.0,,Depth,10500
0600200011710,06,002,0001,1710,74.0,0.9653060800000003,0.013044676756756761,Depth,10500
060020001006A,06,002,0001,006A,10.0,5.748959449999999,0.574895945,Depth,10500
0600200010074,06,002,0001,0074,0.0,0.0,,Depth,10500
0600200011655,06,002,0001,1655,0.0,0.0,,Depth,10500
0600200011636,06,002,0001,1636,262.0,113.61916195000002,0.4336609234732825,Depth,10500
0601000010362,06,010,0001,0362,0.0,0.0,,Depth,10500
0600200011640,06,002,0001,1640,588.0,200.93163149999987,0.34172046173469367,Depth,10800
0600200011617,06,002,0001,1617,2753.0,2472.175194589994,0.8979931691209568,Depth,10800
0600200011621,06,002,0001,1621,0.0,0.0,,Depth,10800
0600200010676,06,002,0001,0676,2923.0,1349.1686802599993,0.461569852979815,Depth,10800
0600200010727,06,002,0001,0727,2295.0,854.3847707299996,0.3722809458518517,Depth,10800
0600200011142,06,002,0001,1142,2589.0,721.7039773700006,0.2787578128118967,Depth,10800
0600200010411,06,002,0001,0411,3677.0,3122.63018066,0.8492331195703019,Depth,10800
0600200011481,06,002,0001,1481,181.0,134.65170159000004,0.7439320529834257,Depth,10800
0600200011068,06,002,0001,1068,3039.0,1777.818670520001,0.5850012078051994,Depth,10800
0600200010708,06,002,0001,0708,5486.0,3246.604982839994,0.5917982105067434,Depth,10800
0600200011458,06,002,0001,1458,0.0,0.0,,Depth,10800
0600200010318,06,002,0001,0318,7182.0,1944.4823382099996,0.27074385104566967,Depth,10800
0600200010680,06,002,0001,0680,289.0,63.31519518000001,0.2190837203460208,Depth,10800
0600200010712,06,002,0001,0712,0.0,0.0,,Depth,10800
0600200010746,06,002,0001,0746,147.0,68.55242813000002,0.4663430485034015,Depth,10800
0600200010750,06,002,0001,0750,1618.0,794.9054894599997,0.4912889304449936,Depth,10800
0600200010765,06,002,0001,0765,0.0,0.0,,Depth,10800
0600200010816,06,002,0001,0816,279.0,245.24296509000004,0.8790070433333335,Depth,10800
0600200011123,06,002,0001,1123,592.0,419.66963590000046,0.708901411993244,Depth,10800
0600200011227,06,002,0001,1227,48.0,12.514897140000002,0.26072702375000006,Depth,10800
0600200011265,06,002,0001,1265,6388.0,2817.156350439998,0.44100756894802723,Depth,10800
060020001127A,06,002,0001,127A,5424.0,2432.6732282800003,0.4485017013790561,Depth,10800
0600200010801,06,002,0001,0801,1425.0,1231.721269410001,0.8643658030947375,Depth,10800
0600200010835,06,002,0001,0835,546.0,153.69097597999965,0.28148530399267335,Depth,10800
0600200010924,06,002,0001,0924,155.0,59.57358679,0.38434572122580646,Depth,10800
0600200011439,06,002,0001,1439,0.0,0.0,,Depth,10800
0600200011462,06,002,0001,1462,3930.0,2441.5040439200006,0.6212478483256999,Depth,10800
0600200010322,06,002,0001,0322,2.0,0.02032314,0.01016157,Depth,10800
060020001077A,06,002,0001,077A,0.0,0.0,,Depth,10800
0600200010981,06,002,0001,0981,0.0,0.0,,Depth,10800
0600200011513,06,002,0001,1513,8855.0,2910.721049070003,0.32870932231168865,Depth,10800
0600200011528,06,002,0001,1528,0.0,0.0,,Depth,10800
0600200011301,06,002,0001,1301,1316.0,1957.2320570799993,1.4872584020364736,Depth,10800
0600200011053,06,002,0001,1053,811.0,453.88730868000016,0.5596637591615292,Depth,10800
0600200011072,06,002,0001,1072,828.0,825.0189747899991,0.9963997280072453,Depth,10800
0600200010731,06,002,0001,0731,8153.0,1508.7241397800005,0.18505140927020736,Depth,10800
060020001166A,06,002,0001,166A,0.0,0.0,,Depth,10800
0600200011710,06,002,0001,1710,143.0,1.99427465,0.013945976573426572,Depth,10800
060020001006A,06,002,0001,006A,10.0,5.748959449999999,0.574895945,Depth,10800
0600200010074,06,002,0001,0074,0.0,0.0,,Depth,10800
0600200011655,06,002,0001,1655,0.0,0.0,,Depth,10800
0600200011636,06,002,0001,1636,262.0,113.64365842999996,0.4337544214885495,Depth,10800
0601000010362,06,010,0001,0362,0.0,0.0,,Depth,10800
0600200011640,06,002,0001,1640,591.0,200.99260821999988,0.3400890156006766,Depth,11100
0600200011617,06,002,0001,1617,2753.0,2472.1768535099936,0.8979937717072262,Depth,11100
0600200011621,06,002,0001,1621,0.0,0.0,,Depth,11100
0600200010676,06,002,0001,0676,2924.0,1350.054581749998,0.4617149732387134,Depth,11100
0600200010727,06,002,0001,0727,2315.0,856.0052379699987,0.3697646816285092,Depth,11100
0600200011142,06,002,0001,1142,2618.0,733.0822277299982,0.280016129766997,Depth,11100
0600200010411,06,002,0001,0411,3684.0,3124.128182129991,0.8480261080700301,Depth,11100
0600200011481,06,002,0001,1481,181.0,134.65170159000004,0.7439320529834257,Depth,11100
0600200011068,06,002,0001,1068,3044.0,1778.2027422000006,0.5841664724704339,Depth,11100
0600200010708,06,002,0001,0708,5494.0,3246.7406883099916,0.5909611737003989,Depth,11100
0600200011458,06,002,0001,1458,0.0,0.0,,Depth,11100
0600200010318,06,002,0001,0318,7182.0,1944.7961606599988,0.27078754673628497,Depth,11100
0600200010680,06,002,0001,0680,289.0,63.315259200000014,0.21908394186851216,Depth,11100
0600200010712,06,002,0001,0712,0.0,0.0,,Depth,11100
0600200010746,06,002,0001,0746,147.0,68.73746646000002,0.4676018126530614,Depth,11100
0600200010750,06,002,0001,0750,1621.0,794.9505811899999,0.49040751461443544,Depth,11100
0600200010765,06,002,0001,0765,0.0,0.0,,Depth,11100
0600200010816,06,002,0001,0816,280.0,245.41272939000007,0.8764740335357145,Depth,11100
0600200011123,06,002,0001,1123,602.0,425.0654794099996,0.7060888362292352,Depth,11100
0600200011227,06,002,0001,1227,48.0,12.514897140000002,0.26072702375000006,Depth,11100
0600200011265,06,002,0001,1265,6404.0,2817.3796831499976,0.43994061260930634,Depth,11100
060020001127A,06,002,0001,127A,5480.0,2435.4445431599997,0.44442418670802913,Depth,11100
0600200010801,06,002,0001,0801,1425.0,1231.6720319400006,0.8643312504842109,Depth,11100
0600200010835,06,002,0001,0835,546.0,153.69097597999965,0.28148530399267335,Depth,11100
0600200010924,06,002,0001,0924,155.0,59.57358679,0.38434572122580646,Depth,11100
0600200011439,06,002,0001,1439,0.0,0.0,,Depth,11100
0600200011462,06,002,0001,1462,3932.0,2441.5533325100014,0.6209443877187185,Depth,11100
0600200010322,06,002,0001,0322,2.0,0.02032314,0.01016157,Depth,11100
060020001077A,06,002,0001,077A,0.0,0.0,,Depth,11100
0600200010981,06,002,0001,0981,0.0,0.0,,Depth,11100
0600200011513,06,002,0001,1513,9003.0,2957.566479499992,0.32850899472398,Depth,11100
0600200011528,06,002,0001,1528,3.0,0.17449681,0.058165603333333336,Depth,11100
0600200011301,06,002,0001,1301,1316.0,1957.0832245799998,1.4871453074316108,Depth,11100
0600200011053,06,002,0001,1053,811.0,453.88730868000016,0.5596637591615292,Depth,11100
0600200011072,06,002,0001,1072,828.0,825.0189747899991,0.9963997280072453,Depth,11100
0600200010731,06,002,0001,0731,8229.0,1515.8565510900032,0.1842090838607368,Depth,11100
060020001166A,06,002,0001,166A,0.0,0.0,,Depth,11100
0600200011710,06,002,0001,1710,187.0,2.741630470000001,0.014661125508021395,Depth,11100
060020001006A,06,002,0001,006A,10.0,5.748959449999999,0.574895945,Depth,11100
0600200010074,06,002,0001,0074,0.0,0.0,,Depth,11100
0600200011655,06,002,0001,1655,0.0,0.0,,Depth,11100
0600200011636,06,002,0001,1636,262.0,113.64445024999999,0.43375744370229,Depth,11100
0601000010362,06,010,0001,0362,0.0,0.0,,Depth,11100
0600200011640,06,002,0001,1640,592.0,201.00309753999986,0.3395322593581079,Depth,11400
0600200011617,06,002,0001,1617,2756.0,2472.5963468499936,0.8971684857946276,Depth,11400
0600200011621,06,002,0001,1621,0.0,0.0,,Depth,11400
0600200010676,06,002,0001,0676,2925.0,1349.9697769999982,0.4615281288888883,Depth,11400
0600200010727,06,002,0001,0727,2329.0,856.9644066399973,0.36795380276513406,Depth,11400
0600200011142,06,002,0001,1142,2642.0,743.5141780299983,0.2814209606472363,Depth,11400
0600200010411,06,002,0001,0411,3690.0,3124.8433331599927,0.846841011696475,Depth,11400
0600200011481,06,002,0001,1481,181.0,134.65170159000004,0.7439320529834257,Depth,11400
