ageb,P6A14NAE,SBASC,PSDSS,OVSDE,OVSEE,OVSAE,OVPT,OVSREF,OVSINT,OVSCEL,OVHAC
052A,4.18604651162791,32.4225865209472,19.6938065414057,0.0,0.557103064066852,0.835654596100279,2.50696378830084,3.27298050139276,27.5766016713092,6.19777158774373,23.8161559888579
0534,0.0,20.0296735905045,20.0902934537246,0.113636363636364,0.113636363636364,0.113636363636364,2.15909090909091,1.59090909090909,22.8409090909091,5.11363636363636,15.7954545454545
0549,2.97872340425532,31.3632781717888,25.533211456429,0.0,0.0615384615384615,0.0,1.29230769230769,3.32307692307692,34.7076923076923,9.10769230769231,23.3230769230769
0568,3.73134328358209,36.6666666666667,15.2348224513173,0.0,0.343642611683849,0.229095074455899,4.23825887743414,4.35280641466208,26.8041237113402,4.58190148911798,19.3585337915235
0572,2.23214285714286,30.6215722120658,19.5833333333333,0.0,0.0,0.0,3.76569037656904,3.90516039051604,27.1269177126918,5.02092050209205,22.8730822873082
0619,0.0,3.44827586206897,13.3004926108374,0.0,0.0,0.0,0.0,0.0,8.4788029925187,0.0,2.24438902743142
0623,13.3333333333333,42.5531914893617,31.304347826087,3.47826086956522,3.47826086956522,7.82608695652174,10.4347826086957,6.95652173913043,33.9130434782609,13.0434782608696,33.0434782608696
0638,3.92156862745098,40.8,22.4839400428266,0.0,0.0,0.854700854700855,4.05982905982906,6.62393162393162,34.6153846153846,11.965811965812,19.8717948717949
0676,3.42465753424658,28.0070754716981,18.9418989135569,0.0,0.256410256410256,0.0,1.54083204930663,3.03186022610483,27.5897435897436,8.46153846153846,14.8205128205128
0680,0.813008130081301,13.4920634920635,17.7453027139875,0.0,0.0,0.0,1.2301013024602,1.66425470332851,19.4645441389291,8.46599131693198,5.06512301013025
0708,0.0,10.6878306878307,18.3768656716418,0.0,0.0,0.0956937799043062,0.287081339712919,1.24401913875598,17.7033492822967,5.93301435406699,7.27272727272727
0712,3.41880341880342,21.2319178721419,19.4354838709677,0.0,0.0415800415800416,0.0,0.332640332640333,3.78378378378378,23.991683991684,9.14760914760915,15.6340956340956
0727,2.80561122244489,25.3786273503892,20.1780415430267,0.0,0.252062328139322,0.0687442713107241,1.48945921173236,4.14757103574702,27.9789184234647,6.64527956003666,15.8799266727773
0731,4.30622009569378,15.4929577464789,17.206132879046,0.255536626916525,0.212947189097104,0.511073253833049,0.724020442930153,1.61839863713799,15.4599659284497,5.74957410562181,5.74957410562181
0746,1.92307692307692,10.9154929577465,20.3821656050955,0.109529025191676,0.219058050383352,0.0,0.109529025191676,2.95728368017525,18.1818181818182,6.68127053669222,8.43373493975904
0750,4.09090909090909,24.1901776384535,20.7306338028169,0.846325167037862,0.579064587973274,0.66815144766147,0.846325167037862,4.27616926503341,31.4031180400891,8.68596881959911,14.6102449888641
0765,4.16666666666667,22.4657534246575,18.0124223602484,0.313971742543171,0.0,0.470957613814757,0.0788022064617809,1.64835164835165,27.6295133437991,10.1255886970173,9.34065934065934
077A,21.6374269005848,25.9846827133479,20.2664129400571,0.0,0.669216061185469,0.239005736137667,0.669216061185469,5.40152963671128,29.0630975143403,7.12237093690249,13.4799235181644
0784,3.48837209302326,39.1457971555275,17.7901320361362,0.0,0.350385423966363,0.140154169586545,2.59285213735109,4.27470217238963,33.4736842105263,7.77855641205326,18.4302733006307
0799,7.14285714285714,10.6830122591944,17.1898355754858,0.0746268656716418,0.0746268656716418,0.0746268656716418,1.94029850746269,0.597014925373134,13.2188200149365,5.22388059701492,3.43283582089552
0801,5.71428571428571,24.4318181818182,16.2492719860221,0.409836065573771,0.234192037470726,0.0585480093676815,2.40046838407494,5.15222482435597,25.8782201405152,6.9672131147541,15.3981264637002
0816,3.06122448979592,40.4040404040404,16.6666666666667,0.0,0.48951048951049,0.27972027972028,4.82517482517482,12.1678321678322,41.4685314685315,7.13286713286713,35.7342657342657
0820,1.2987012987013,6.75496688741722,24.0783410138249,0.0,0.0,0.0,0.0,0.578034682080925,6.9364161849711,3.12138728323699,3.23699421965318
0835,4.14201183431953,5.58270558270558,20.2868852459016,0.0,0.0,0.0,0.0,0.571428571428571,4.28571428571429,1.28571428571429,1.57142857142857
084A,2.80373831775701,23.8693467336683,19.2612137203166,0.0,0.0,0.264026402640264,2.9042904290429,3.6963696369637,28.3168316831683,4.02640264026403,16.7656765676568
0854,3.6144578313253,29.5238095238095,20.1918223119637,0.0508905852417303,0.407124681933842,0.0,2.49363867684478,4.12213740458015,26.5648854961832,6.36132315521628,19.8982188295165
0869,3.68421052631579,14.8704704875153,12.9281767955801,0.0,0.0,0.0,0.221238938053097,1.10619469026549,14.4758735440932,4.86725663716814,9.01548672566372
0873,3.46820809248555,25.5093002657219,17.6046176046176,0.0,0.0,0.0,1.8037518037518,2.23665223665224,22.7994227994228,7.5036075036075,16.8109668109668
0888,2.3121387283237,26.5553869499241,13.7959183673469,0.0,0.166666666666667,0.0,0.333333333333333,2.375,24.7916666666667,6.58333333333333,7.75
